trigger,T50,errT50,T90,errT90
3159,13.952,9.088,18.24,0.272
3160,2.432,1.314,3.072,1.433
3163,17.344,0.091,25.088,1.203
3164,2.88,0.326,7.488,0.854
3166,2.112,0.231,5.504,0.73
3167,1.856,0.516,3.872,1.094
3168,6.592,0.429,18.08,1.073
3171,34.112,0.466,57.216,0.979
3173,0.088,0.011,0.208,0.025
3174,9.664,0.362,20.128,1.361
3177,2.176,0.202,6.688,2.233
3178,6.144,0.143,39.936,4.352
3193,16.64,1.056,64.064,16.515
3212,11.808,1.042,83.424,2.521
3215,0.128,0.091,0.64,0.091
3217,16.64,0.716,44.832,1.541
3218,0.04,0.011,0.096,0.011
3220,26.272,1.404,100.448,7.621
3227,20.736,0.091,115.328,0.181
3229,6.08,0.898,20.736,0.905
3237,6.72,0.143,46.24,1.639
3238,6.4,0.143,20.928,0.528
3241,12.992,0.091,45.44,0.091
3242,2.688,0.091,8.576,0.143
3245,34.24,0.091,77.056,0.091
3246,13.952,0.181,54.464,4.164
3247,46.848,0.659,200.704,2.57
3248,59.264,1.105,84.16,3.165
3251,38.144,0.773,49.024,0.272
3253,28.544,0.091,56,0.143
3255,20.16,0.091,34.88,0.653
3256,60.16,1.032,96.576,8.384
3257,22.592,0.326,63.616,0.834
3259,15.168,0.453,48.448,1.669
3266,0.144,0.023,0.61,0.233
3267,18.24,2.788,54.336,11.916
3269,4.352,0.63,13.888,0.516
3276,6.176,3.083,20.192,2.347
3278,0.768,0.264,1.408,7.648
3279,27.008,0.32,41.056,1.954
3280,1.344,0.202,3.392,1.346
3282,0.034,0.008,0.078,0.014
3283,9.152,0.286,45.824,1.409
3284,1.152,0.264,5.056,1.18
3286,1.216,0.143,2.368,0.58
3287,7.68,0.091,33.408,1.154
3290,3.456,0.091,43.648,0.264
3292,77.632,1.93,113.952,4.845
3293,0.192,0.091,0.256,0.143
3294,1.056,0.023,2.389,0.072
3297,0.096,0.023,0.272,0.023
3301,12.288,0.286,36.096,1.408
3306,72.96,0.41,108.512,1.361
3307,26.4,1.145,42.976,1.28
3308,0.32,0.091,0.512,0.091
3319,171.968,1.026,206.272,5.889
3320,18.752,0.32,42.624,1.214
3321,7.936,0.272,22.912,1.12
3322,11.36,1.042,26.72,4.845
3323,0.176,0.023,0.448,0.115
3324,15.872,1.059,37.824,7.38
3330,32.576,0.389,61.952,1.921
3333,0.02,0.006,0.052,0.016
3335,0.614,0.066,1.254,0.08
3336,92.096,0.181,152.8,1.056
3338,0.04,0.006,0.108,0.016
3339,20.768,2.319,51.68,5.044
3340,0.44,0.128,1.016,0.421
3342,0.052,0.006,0.116,0.02
3345,5.504,0.143,40.416,1.208
3347,19.808,1.094,61.216,6.292
3349,0.192,0.091,0.384,0.091
3350,4.8,0.689,13.056,6.272
3351,39.104,0.264,102.912,1.62
3352,16.512,0.181,46.336,0.73
3356,2.432,0.181,5.952,0.91
3358,10.048,0.373,25.024,3.338
3359,0.176,0.011,0.344,0.025
3364,13.088,1.073,39.648,4.098
3369,21.632,1.18,49.696,2.176
3370,5.92,1.032,38.432,7.232
3374,0.88,0.082,2.284,0.504
3378,4.568,0.311,9.728,0.842
3379,0.288,0.023,0.608,0.051
3384,0.02,0.006,0.056,0.028
3403,15.168,0.604,31.84,1.361
3405,18.688,1.484,67.392,19.245
3407,43.456,0.264,91.36,2.176
3408,21.952,0.091,58.56,1.026
3410,0.056,0.006,0.116,0.006
3412,0.012,0.006,0.068,0.006
3415,26.368,0.091,54.336,0.264
3416,13.024,3.358,37.408,4.471
3431,0.24,0.036,0.496,0.082
3436,9.472,0.143,40,0.746
3437,0.168,0.011,0.344,0.064
3439,89.408,0.547,150.784,1.669
3441,0.096,0.036,0.24,0.115
3448,96.512,3.912,331.232,10.801
